Item,Cost,Link,Store,Quantity
Low Profile Switches,$15,https://mechanicalkeyboards.com/products/ttc-low-profile-blue-40g-clicky?variant=47416965202220&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoonDNgW-TP2c7nvuKg1DvcwzDCLngb8ecIFVe2HGHIXSLj5jAZudmE&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,Mechanical Keyboards,80(only packs of ten)
Nice!NanoV2,$25,https://typeractive.xyz/products/nice-nano,Typeractive,1
Diodes,$6,https://typeractive.xyz/products/smd-diodes,Typeractive,80(only packs of ten)
Custom Keyboard PCB,$30,Jlcpcb.com,JLCPCB,1 (Minimum order is 5 though)
Hotswap pockets,$12,https://typeractive.xyz/products/hotswap-sockets?variant=45742200324327,Typeractive,80
Powerswitch,$1.50,https://typeractive.xyz/products/power-switch,Typeractive,1 (minimum order is 2)
Battery Jack,$1,https://typeractive.xyz/products/battery-jack?variant=46024892186855,Typeractive,1 (minimum order is 2)
Battery ,$7,",https://www.aliexpress.us/item/3256809148927180.html?src=google&gatewayAdapt=glo2usa",Aliexpress,1
Filament for Case, $20(filament), 3d Printed, Amazon, https://www.amazon.com/ELEGOO-Filament-Dimensional-Accuracy-Cardboard/dp/B0BM72Z1X5?dib=eyJ2IjoiMSJ9.llG2e2BWyp5Ql9BSherD1zoX_Cs8pvheZe0N2dF5Ftej4qCR3ytH9WNyg_SW4Ek0SK9kQhzygKTuEXez47l-dUFNJ2PAySr8GgHhklskEKf8Sf_IYoWnmseQkzdMdTIKalSlCxE9oy1xO_7sUzOaiKoiSpZyjQjpeNyJJhUtYzlPKzthQ3rhDswgXsoxSUr-JOBpbhIjQ5mcJEtRGmtsP11MbU_ECVGBAa6csDYKbP0.CcnKS1liVVv0aYoWBBvinbJ6gc7KJ9psTLWc0y7pmpc&dib_tag=se&keywords=yellow+filament&qid=1782182251&sr=8-4
Heat inserts & screws (M2.5 should work), $8,https://www.aliexpress.us/item/3256804651118796.html?spm=a2g0o.productlist.main.6.54b55Sii5SiiW6&algo_pvid=d5b0a0ba-e0f0-440c-ad1b-891c6a8e9d80&algo_exp_id=d5b0a0ba-e0f0-440c-ad1b-891c6a8e9d80-5&pdp_ext_f=%7B%22order%22%3A%221218%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.69%216.93%21%21%2152.02%2146.88%21%40210328db17794869562676528e71f4%2112000030681936146%21sea%21US%216134285932%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2c6ee888%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=gXG5LX093uy3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004837433548%7C_p_origin_prod%3A, Aliexpress, Need 4 (set of 500)
Total,$116,,,
