Designator,Mid X,Mid Y,Rotation,Layer
D1,25.7718,-41.4475,90.0,bottom
D10,203.3426,-41.4475,90.0,bottom
D11,223.0726,-41.4475,90.0,bottom
D12,242.8027,-41.4475,90.0,bottom
D13,262.5328,-41.4475,90.0,bottom
D14,282.2629,-41.4475,90.0,bottom
D15,25.4318,-60.4975,90.0,bottom
D16,44.4818,-60.4975,90.0,bottom
D17,63.5318,-60.4975,90.0,bottom
D18,82.5818,-60.4975,90.0,bottom
D19,101.6318,-60.4975,90.0,bottom
D2,45.5019,-41.4475,90.0,bottom
D20,120.6818,-60.4975,90.0,bottom
D21,139.7318,-60.4975,90.0,bottom
D22,158.7818,-60.4975,90.0,bottom
D23,177.8318,-60.4975,90.0,bottom
D24,196.8818,-60.4975,90.0,bottom
D25,215.9318,-60.4975,90.0,bottom
D26,234.9818,-60.4975,90.0,bottom
D27,254.0318,-60.4975,90.0,bottom
D28,277.8443,-60.4975,90.0,bottom
D29,30.1943,-79.5475,90.0,bottom
D3,65.232,-41.4475,90.0,bottom
D30,54.0068,-79.5475,90.0,bottom
D31,73.0568,-79.5475,90.0,bottom
D32,92.1068,-79.5475,90.0,bottom
D33,111.1568,-79.5475,90.0,bottom
D34,130.2068,-79.5475,90.0,bottom
D35,149.2568,-79.5475,90.0,bottom
D36,168.3068,-79.5475,90.0,bottom
D37,187.3568,-79.5475,90.0,bottom
D38,206.4068,-79.5475,90.0,bottom
D39,225.4568,-79.5475,90.0,bottom
D4,84.962,-41.4475,90.0,bottom
D40,244.5068,-79.5475,90.0,bottom
D41,263.5568,-79.5475,90.0,bottom
D42,282.6068,-79.5475,90.0,bottom
D43,32.5755,-98.5975,90.0,bottom
D44,58.7693,-98.5975,90.0,bottom
D45,77.8193,-98.5975,90.0,bottom
D46,96.8693,-98.5975,90.0,bottom
D47,115.9193,-98.5975,90.0,bottom
D48,134.9693,-98.5975,90.0,bottom
D49,154.0193,-98.5975,90.0,bottom
D5,104.6921,-41.4475,90.0,bottom
D50,173.0693,-98.5975,90.0,bottom
D51,192.1193,-98.5975,90.0,bottom
D52,211.1693,-98.5975,90.0,bottom
D53,230.2193,-98.5975,90.0,bottom
D54,249.2693,-98.5975,90.0,bottom
